isolate,accession,location,date,species,sample_id,label_format,branch_format
D_mel_USA_2020_mel-20-TD-3_Galbut_virus_RNA1_Complete_CDS,PQ625057,Colorado,2020,melanogaster,Colorado_2020_PQ625057,label #0000FF normal 1,label #0000FF normal 1
D_mel_USA_2020_sim-20-TD-4_Galbut_virus_RNA1_Complete_CDS,PQ625058,Colorado,2020,melanogaster,Colorado_2020_PQ625058,label #0000FF normal 1,label #0000FF normal 1
D_mel_USA_2021_mel-21-MDS-9_Galbut_virus_RNA1_Complete_CDS,PQ625059,Colorado,2021,melanogaster,Colorado_2021_PQ625059,label #0000FF normal 1,label #0000FF normal 1
D_mel_USA_2023_500-F-11_Galbut_virus_RNA1_Complete_CDS,PQ625060,Colorado,2023,melanogaster,Colorado_2023_PQ625060,label #0000FF normal 1,label #0000FF normal 1
D_mel_USA_2023_500-F-21_Galbut_virus_RNA1_Complete_CDS,PQ625061,Colorado,2023,melanogaster,Colorado_2023_PQ625061,label #0000FF normal 1,label #0000FF normal 1
D_mel_USA_2023_500-F-41_Galbut_virus_RNA1_Complete_CDS,PQ625062,Colorado,2023,melanogaster,Colorado_2023_PQ625062,label #0000FF normal 1,label #0000FF normal 1
D_mel_USA_2023_500-F-67_Galbut_virus_RNA1_Complete_CDS,PQ625063,Colorado,2023,melanogaster,Colorado_2023_PQ625063,label #0000FF normal 1,label #0000FF normal 1
D_mel_USA_2023_500-M-16_Galbut_virus_RNA1_Complete_CDS,PQ625064,Colorado,2023,melanogaster,Colorado_2023_PQ625064,label #0000FF normal 1,label #0000FF normal 1
D_mel_USA_2023_500-M-17_Galbut_virus_RNA1_Complete_CDS,PQ625065,Colorado,2023,melanogaster,Colorado_2023_PQ625065,label #0000FF normal 1,label #0000FF normal 1
D_mel_USA_2023_500-M-54_Galbut_virus_RNA1_Complete_CDS,PQ625066,Colorado,2023,melanogaster,Colorado_2023_PQ625066,label #0000FF normal 1,label #0000FF normal 1
D_mel_USA_2023_500-M-57_Galbut_virus_RNA1_Complete_CDS,PQ625067,Colorado,2023,melanogaster,Colorado_2023_PQ625067,label #0000FF normal 1,label #0000FF normal 1
D_mel_USA_2023_500-M-60_Galbut_virus_RNA1_Complete_CDS,PQ625068,Colorado,2023,melanogaster,Colorado_2023_PQ625068,label #0000FF normal 1,label #0000FF normal 1
D_mel_USA_2023_500-M-61-2_Galbut_virus_RNA1_Complete_CDS,PQ625069,Colorado,2023,melanogaster,Colorado_2023_PQ625069,label #0000FF normal 1,label #0000FF normal 1
D_mel_USA_2023_500-M-61_Galbut_virus_RNA1_Complete_CDS,PQ625070,Colorado,2023,melanogaster,Colorado_2023_PQ625070,label #0000FF normal 1,label #0000FF normal 1
D_mel_USA_2023_500-M-65-2_Galbut_virus_RNA1_Complete_CDS,PQ625071,Colorado,2023,melanogaster,Colorado_2023_PQ625071,label #0000FF normal 1,label #0000FF normal 1
D_mel_USA_2023_500-M-65_Galbut_virus_RNA1_Complete_CDS,PQ625072,Colorado,2023,melanogaster,Colorado_2023_PQ625072,label #0000FF normal 1,label #0000FF normal 1
D_mel_USA_2023_500-M-71-2_Galbut_virus_RNA1_Complete_CDS,PQ625073,Colorado,2023,melanogaster,Colorado_2023_PQ625073,label #0000FF normal 1,label #0000FF normal 1
D_mel_USA_2023_500-M-83_Galbut_virus_RNA1_Complete_CDS,PQ625074,Colorado,2023,melanogaster,Colorado_2023_PQ625074,label #0000FF normal 1,label #0000FF normal 1
